pid,eid,pname,subject,date,number,rl,neuropixel,t0,i_snippet,n_snippets,passive
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,2000.0,3,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,2600.0,4,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,3200.0,5,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,3800.0,6,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,4400.0,7,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,5000.0,8,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,5600.0,9,11,False
17d9710a-f292-4226-b033-687d54b6545a,d04feec7-d0b7-4f35-af89-0232dd975bf0,probe01,KS089,2022-03-19,1,6713.340222434435,3B2,6200.0,10,11,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,200.0,0,9,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,800.0,1,9,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,1400.0,2,9,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,2000.0,3,9,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,2600.0,4,9,False
22212d26-a167-45fb-9963-35ecd003e8a2,b196a2ad-511b-4e90-ac99-b5a29ad25c22,probe01,KS084,2022-02-01,1,5138.82940071375,3B2,3200.0,5,9,False
